[LOG]: [FFmpegLib]: DEST URL: D:\MasterStudium\Interactive Design\github_project\Template_Countries\2022-07-15-18-25-56-2V5Q1.mp4
[LOG]: [FFmpegLib]: Build command: "C:/Users/mulha/Desktop/Data_Visualisation_Build/Datavisualisation_Data/StreamingAssets/RockVR/FFmpeg/Windows/ffmpeg.exe" -f rawvideo -pix_fmt rgb24 -r 30 -s 1280x720 -i - -y -preset ultrafast -pix_fmt yuv420p -vcodec libx264 -crf 18 -vf vflip -framerate 30 -tune zerolatency "D:\MasterStudium\Interactive Design\github_project\Template_Countries\2022-07-15-18-25-56-2V5Q1.mp4"
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
[LOG]: [FFmpegLib]: Write data bytes: 2764800
